Nome,Preço Cx,Preço Uni,Ifood,Categoria
Antarctica 269ml cx,"R$ 36,00","R$ 3,00","R$ 45,86",Alcoolicos
Antarctica 269ml uni,"R$ 36,00","R$ 3,00","R$ 45,86",Alcoolicos
Brahma 269ml cx,"R$ 36,00","R$ 3,00","R$ 45,86",Alcoolicos
Brahma 269ml uni,"R$ 36,00","R$ 3,00","R$ 45,86",Alcoolicos
Devassa 350ml cx,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Devassa 350ml uni,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Devassa 269ml cx,"R$ 28,00","R$ 3,00","R$ 35,67",Alcoolicos
Devassa 269ml uni,"R$ 28,00","R$ 3,00","R$ 35,67",Alcoolicos
Itaipava 269ml cx,"R$ 26,00","R$ 3,00","R$ 33,12",Alcoolicos
Itaipava 269ml uni,"R$ 26,00","R$ 3,00","R$ 33,12",Alcoolicos
Amstel 350ml cx,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Amstel 350ml uni,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Amstel 269ml cx,"R$ 33,00","R$ 3,00","R$ 42,04",Alcoolicos
Amstel 269ml uni,"R$ 33,00","R$ 3,00","R$ 42,04",Alcoolicos
Kaiser 350ml cx,"R$ 27,00","R$ 3,00","R$ 34,40",Alcoolicos
Kaiser 350ml uni,"R$ 27,00","R$ 3,00","R$ 34,40",Alcoolicos
Império 269ml,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Petra 350ml cx,"R$ 35,86","R$ 4,00","R$ 45,69",Alcoolicos
Petra 350ml uni,"R$ 35,86","R$ 4,00","R$ 45,69",Alcoolicos
Budweiser lata 269ml cx,"R$ 25,00","R$ 0,00","R$ 31,85",Alcoolicos
Budweiser long neck cx,"R$ 28,00","R$ 6,00","R$ 35,67",Alcoolicos
Budweiser long neck uni,"R$ 28,00","R$ 6,00","R$ 35,67",Alcoolicos
Bohemia 350ml,"R$ 34,00","R$ 0,00","R$ 43,32",Alcoolicos
Brahma Duplo Malte 350ml cx,"R$ 36,50","R$ 4,00","R$ 46,50",Alcoolicos
Brahma Duplo Malte 350ml uni,"R$ 36,50","R$ 4,00","R$ 46,50",Alcoolicos
Heineken long neck 330ml cx,"R$ 37,00","R$ 7,00","R$ 47,14",Alcoolicos
Heineken long neck 330ml uni,"R$ 37,00","R$ 7,00","R$ 47,14",Alcoolicos
Heineken lata 250ml,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Heineken Shot ,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Corona 330ml cx,"R$ 34,00","R$ 6,50","R$ 43,32",Alcoolicos
Corona 330ml uni,"R$ 34,00","R$ 6,50","R$ 43,32",Alcoolicos
Stella Artois long neck  cx,"R$ 30,00","R$ 6,00","R$ 38,22",Alcoolicos
Stella Artois long neck uni,"R$ 30,00","R$ 6,00","R$ 38,22",Alcoolicos
Skol beats 313ml ,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Skol Beats 269ml uni,"R$ 0,00","R$ 6,00","R$ 7,64",Alcoolicos
Skol GT 269ml uni,"R$ 45,00","R$ 6,50","R$ 57,33",Alcoolicos
Skol bpm uni,"R$ 0,00","R$ 5,50","R$ 7,01",Alcoolicos
Skol Zodíaco ,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
"Ice 51 275ml (morango, kiwi) ","R$ 0,00","R$ 6,00","R$ 7,64",Alcoolicos
Ice Smirnoff 275ml,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Birinight 375ml,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
"Keep cooler 275ml( morango, uva) ","R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
"Ousadia 500ml (tangerina, blueberry, limão, abacaxi) ","R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Eisenbahn long neck,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Eisenbahn 350ml,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Heineken 600ml,"R$ 0,00","R$ 0,00","R$ 0,00",Alcoolicos
Original 269ml cx,"R$ 25,00","R$ 0,00","R$ 31,85",Alcoolicos
Spaten 350 ml,"R$ 42,00","R$ 0,00","R$ 53,51",Alcoolicos
Eisenbahn 269 ml,"R$ 38,00","R$ 3,00","R$ 48,41",Alcoolicos
Suco del valle,"R$ 0,00","7,00","R$ 8,92",Alcoolicos
Energético Vulcano ,"R$ 0,00","15,00","R$ 19,11",Alcoolicos
Energético Full,"R$ 0,00","10,00","R$ 12,74",Alcoolicos
Energético Furioso ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Vodka Taiga 1L,"R$ 0,00","16,00","R$ 20,38",Alcoolicos
Vodka Orloff 1L,"R$ 0,00","26,00","R$ 33,12",Alcoolicos
Vodka Smirnoff  998ml,"R$ 0,00","37,00","R$ 47,14",Alcoolicos
Vodka Absolute 1L,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Vodka Rustoff 970ml,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Gin Beefeater 750ml,"R$ 0,00","120,00","R$ 152,88",Alcoolicos
Gin Taqueray 750ml,"R$ 0,00","125,00","R$ 159,25",Alcoolicos
Whisky Ballantines 1L,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Whisky Chivas,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Domus  1L,"R$ 0,00","11,00","R$ 14,01",Alcoolicos
Presidente ,"R$ 0,00","12,00","R$ 15,29",Alcoolicos
Sao joao da barra,"R$ 0,00","22,00","R$ 28,03",Alcoolicos
Cortezano,"R$ 0,00","12,00","R$ 15,29",Alcoolicos
Velh Barreiro,"R$ 0,00","10,00","R$ 12,74",Alcoolicos
Para tudo ,"R$ 0,00","12,00","R$ 15,29",Alcoolicos
Cachaca 51,"R$ 0,00","10,00","R$ 12,74",Alcoolicos
Vinho Pergula,"R$ 0,00","20,00","R$ 25,48",Alcoolicos
"Vinho Cantina da serra 1,5L","R$ 0,00","13,00","R$ 16,56",Alcoolicos
Vinho Cantina da serra 880ml,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Vinho Jurupinga,"R$ 0,00","25,00","R$ 31,85",Alcoolicos
Catuaba,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Monster 473ml ,"R$ 0,00","9,00","R$ 11,47",Bebidas
Red bull 250ml,"R$ 0,00","9,00","R$ 11,47",Bebidas
Água de coco 200ml,"R$ 0,00","3,00","R$ 3,82",Bebidas
Água de coco 1L,"R$ 0,00","7,00","R$ 8,92",Bebidas
Água de coco congelada 200ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Suco Nutri nectar 1L,"R$ 0,00","5,50","R$ 7,01",Bebidas
Gin Taqueray 275ml,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Gin Rocks ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Bananinha ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Gin Intencion,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Caninha sertaneja pet,"R$ 0,00","4,00","R$ 5,10",Alcoolicos
São Francisco ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Coca cola lata 310ml,"R$ 0,00","4,00","R$ 5,10",Bebidas
Coca cola lata 220ml Mini,"R$ 0,00","3,00","R$ 3,82",Bebidas
Fanta guaraná 310ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Fanta guaraná 220ml,"R$ 0,00","2,50","R$ 3,19",Bebidas
Guaraná Antártica 310ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Sprite 310ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Suco Kappo 200ml,"R$ 0,00","2,50","R$ 3,19",Bebidas
Suco Nutri Nectar 200ml,"R$ 0,00","2,00","R$ 2,55",Bebidas
Água mineral sem gás ,"R$ 0,00","2,00","R$ 2,55",Bebidas
Água mineral com gás ,"R$ 0,00","3,00","R$ 3,82",Bebidas
Coca cola 2L,"R$ 0,00","8,00","R$ 10,19",Bebidas
Fanta laranja 2L,"R$ 0,00","7,00","R$ 8,92",Bebidas
Sprite 2L,"R$ 0,00","7,50","R$ 9,56",Bebidas
Mineiro ,"R$ 0,00","6,00","R$ 7,64",Bebidas
"Guaraná Antarctica 2,5 L","R$ 0,00","7,00","R$ 8,92",Bebidas
"Guaraná Antarctica 1,5L","R$ 0,00","5,50","R$ 7,01",Bebidas
Suco del valle,"R$ 0,00","7,00","R$ 8,92",Bebidas
Bis oreo,"R$ 0,00","3,00","R$ 3,82",Chocolate
Bis,"R$ 0,00","3,00","R$ 3,82",Chocolate
Lollo,"R$ 0,00","0,00","R$ 0,00",Chocolate
Batom,"R$ 0,00","0,00","R$ 0,00",Chocolate
Toddynho,"R$ 0,00","2,50","R$ 3,19",Bebidas
Doces ,"R$ 0,00","2,00","R$ 2,55",Doces
Talentos ,"R$ 0,00","1,50","R$ 1,91",Doces
Chocolate barra,"R$ 0,00","6,00","R$ 7,64",Doces
Trento,"R$ 0,00","2,50","R$ 3,19",Doces
Halls,"R$ 0,00","1,50","R$ 1,91",Doces
Tridente,"R$ 0,00","2,00","R$ 2,55",Doces
Frutella,"R$ 0,00","2,00","R$ 2,55",Doces
Mentos,"R$ 0,00","2,00","R$ 2,55",Doces
Amendopa,"R$ 0,00","2,00","R$ 2,55",Salgado
Micos Grande - Micao,"R$ 0,00","3,50","R$ 4,46",Salgado
Micos medio,"R$ 0,00","3,00","R$ 3,82",Salgado
Micos Pequeno,"R$ 0,00","1,50","R$ 1,91",Salgado
Sheetos,"R$ 0,00","3,00","R$ 3,82",Salgado
Doritos Grande ,"R$ 0,00","17,00","R$ 21,66",Salgado
Doritos Medio,"R$ 0,00","7,00","R$ 8,92",Salgado
Doritos pequeno ,"R$ 0,00","5,00","R$ 6,37",Salgado
Cebolitos Grande ,"R$ 0,00","15,00","R$ 19,11",Salgado
Cebolitos ,"R$ 0,00","5,00","R$ 6,37",Salgado
Fandangos Grande,"R$ 0,00","12,00","R$ 15,29",Salgado
Fandangos ,"R$ 0,00","3,00","R$ 3,82",Salgado
Batta ruffles pequeno ,"R$ 0,00","5,00","R$ 6,37",Salgado
Batata ruffle médio ,"R$ 0,00","7,00","R$ 8,92",Salgado
Batata Ruffles grande ,"R$ 0,00","17,00","R$ 21,66",Salgado
Batata sensação pequena ,"R$ 0,00","5,00","R$ 6,37",Salgado
Batata sensação média ,"R$ 0,00","7,00","R$ 8,92",Salgado